Start-Time: 05/09/2015 10:38:45

Date, Tithi, Nakshatra, Skipped Tithi, Skipped Nakshatra, 
21/09/2016, Shasti upto  17:57, Rohini upto  28:02+,  ,  , 
22/09/2016, Sapthami upto  15:48, Mirugasirisham upto  26:52+,  ,  , 
23/09/2016, Astami upto  14:10, Thiruvathirai upto  26:13+,  ,  , 
24/09/2016, Navami upto  13:05, Punarpoosam upto  26:07+,  ,  , 
25/09/2016, Thasami upto  12:32, Poosam upto  26:34+,  ,  , 
26/09/2016, Egadashi upto  12:33, Ayilyam upto  27:30+,  ,  , 
27/09/2016, Duvadasi upto  13:03, Magam upto  28:55+,  ,  , 
28/09/2016, Thirayodasi upto  14:02, Pooram upto Full Night,  ,  , 
29/09/2016, Sathuradasi upto  15:25, Pooram upto  06:45,  ,  , 
30/09/2016, Amavasai upto  17:11, Uthiram upto  08:57,  ,  , 
01/10/2016, Pirathamai upto  19:15, Hastham upto  11:28,  ,  , 
02/10/2016, Thuthiyai upto  21:35, Chithirai upto  14:15,  ,  , 
03/10/2016, Thiruthiyai upto  24:04+, Swathi upto  17:12,  ,  , 
04/10/2016, Sathurthi upto  26:35+, Visakam upto  20:13,  ,  , 
05/10/2016, Panjami upto  29:01+, Anusham upto  23:11,  ,  , 
06/10/2016, Shasti upto Full Night, Kettai upto  25:56+,  ,  , 
07/10/2016, Shasti upto  07:11, Moolam upto  28:17+,  ,  , 
08/10/2016, Sapthami upto  08:54, Pooradam upto  30:04+,  ,  , 
09/10/2016, Astami upto  10:00, Uthiradam upto Full Night,  ,  , 
10/10/2016, Navami upto  10:23, Uthiradam upto  07:10,  ,  , 
11/10/2016, Thasami upto  09:58, Thiruvonam upto  07:30,  ,  , 
12/10/2016, Egadashi upto  08:44, Avittam upto  07:02,  , Sathayam upto  29:49+, 
13/10/2016, Duvadasi upto  06:45, Poorattathi upto  27:56+, Thirayodasi upto  28:06+,  , 
14/10/2016, Sathuradasi upto  24:55+, Uthirattathi upto  25:31+,  ,  , 
15/10/2016, Pournami upto  21:23, Revathi upto  22:44,  ,  , 
16/10/2016, Pirathamai upto  17:38, Aswini upto  19:47,  ,  , 
17/10/2016, Thuthiyai upto  13:53, Bharani upto  16:49,  ,  , 
18/10/2016, Thiruthiyai upto  10:17, Karthigai upto  14:03,  ,  , 
19/10/2016, Sathurthi upto  07:02, Rohini upto  11:38, Panjami upto  28:16+,  , 
20/10/2016, Shasti upto  26:07+, Mirugasirisham upto  09:45,  ,  , 
21/10/2016, Sapthami upto  24:40+, Thiruvathirai upto  08:29,  ,  , 
22/10/2016, Astami upto  23:58, Punarpoosam upto  07:57,  ,  , 
23/10/2016, Navami upto  24:00+, Poosam upto  08:09,  ,  , 
24/10/2016, Thasami upto  24:42+, Ayilyam upto  09:02,  ,  , 
25/10/2016, Egadashi upto  26:00+, Magam upto  10:33,  ,  , 
26/10/2016, Duvadasi upto  27:45+, Pooram upto  12:34,  ,  , 
27/10/2016, Thirayodasi upto  29:50+, Uthiram upto  14:59,  ,  , 
28/10/2016, Sathuradasi upto Full Night, Hastham upto  17:41,  ,  , 
29/10/2016, Sathuradasi upto  08:10, Chithirai upto  20:33,  ,  , 
30/10/2016, Amavasai upto  10:38, Swathi upto  23:31,  ,  , 
31/10/2016, Pirathamai upto  13:09, Visakam upto  26:31+,  ,  , 
01/11/2016, Thuthiyai upto  15:41, Anusham upto  29:27+,  ,  , 
02/11/2016, Thiruthiyai upto  18:07, Kettai upto Full Night,  ,  , 
03/11/2016, Sathurthi upto  20:21, Kettai upto  08:17,  ,  , 
04/11/2016, Panjami upto  22:17, Moolam upto  10:51,  ,  , 
05/11/2016, Shasti upto  23:46, Pooradam upto  13:03,  ,  , 
06/11/2016, Sapthami upto  24:39+, Uthiradam upto  14:45,  ,  , 
07/11/2016, Astami upto  24:50+, Thiruvonam upto  15:48,  ,  , 
08/11/2016, Navami upto  24:15+, Avittam upto  16:07,  ,  , 
09/11/2016, Thasami upto  22:51, Sathayam upto  15:39,  ,  , 
10/11/2016, Egadashi upto  20:42, Poorattathi upto  14:26,  ,  , 
11/11/2016, Duvadasi upto  17:53, Uthirattathi upto  12:30,  ,  , 
12/11/2016, Thirayodasi upto  14:31, Revathi upto  10:01,  ,  , 
13/11/2016, Sathuradasi upto  10:47, Aswini upto  07:06, Pournami upto  30:52+, Bharani upto  27:57+, 
14/11/2016, Pirathamai upto  26:56+, Karthigai upto  24:47+,  ,  , 
15/11/2016, Thuthiyai upto  23:12, Rohini upto  21:48,  ,  , 
16/11/2016, Thiruthiyai upto  19:52, Mirugasirisham upto  19:11,  ,  , 
17/11/2016, Sathurthi upto  17:05, Thiruvathirai upto  17:07,  ,  , 
18/11/2016, Panjami upto  15:02, Punarpoosam upto  15:46,  ,  , 
19/11/2016, Shasti upto  13:47, Poosam upto  15:14,  ,  , 
20/11/2016, Sapthami upto  13:25, Ayilyam upto  15:32,  ,  , 
21/11/2016, Astami upto  13:53, Magam upto  16:39,  ,  , 
22/11/2016, Navami upto  15:06, Pooram upto  18:28,  ,  , 
23/11/2016, Thasami upto  16:55, Uthiram upto  20:51,  ,  , 
24/11/2016, Egadashi upto  19:11, Hastham upto  23:36,  ,  , 
25/11/2016, Duvadasi upto  21:41, Chithirai upto  26:34+,  ,  , 
26/11/2016, Thirayodasi upto  24:16+, Swathi upto  29:35+,  ,  , 
27/11/2016, Sathuradasi upto  26:50+, Visakam upto Full Night,  ,  , 
28/11/2016, Amavasai upto  29:18+, Visakam upto  08:34,  ,  , 
29/11/2016, Pirathamai upto Full Night, Anusham upto  11:26,  ,  , 
30/11/2016, Pirathamai upto  07:35, Kettai upto  14:07,  ,  , 
01/12/2016, Thuthiyai upto  09:39, Moolam upto  16:35,  ,  , 
02/12/2016, Thiruthiyai upto  11:27, Pooradam upto  18:47,  ,  , 
03/12/2016, Sathurthi upto  12:54, Uthiradam upto  20:38,  ,  , 
04/12/2016, Panjami upto  13:56, Thiruvonam upto  22:02,  ,  , 
05/12/2016, Shasti upto  14:26, Avittam upto  22:55,  ,  , 
06/12/2016, Sapthami upto  14:20, Sathayam upto  23:11,  ,  , 
07/12/2016, Astami upto  13:34, Poorattathi upto  22:47,  ,  , 
08/12/2016, Navami upto  12:06, Uthirattathi upto  21:42,  ,  , 
09/12/2016, Thasami upto  09:58, Revathi upto  19:59, Egadashi upto  31:14+,  , 
10/12/2016, Duvadasi upto  28:01+, Aswini upto  17:44,  ,  , 
11/12/2016, Thirayodasi upto  24:28+, Bharani upto  15:04,  ,  , 
